A4,A4,
API Endpoint,API Endpoint,
API Key,API Key,
Access Token,Access Token,
Account,Konto,
Accounts Manager,Računi Manager,
Accounts User,Računi korisnika,
Action,Akcija,
Actions,Akcije,
Active,Aktivan,
Add,Dodaj,
Add Comment,Dodaj komentar,
Add Row,Dodaj Row,
Address,Adresa,
Address Line 2,Adresa - linija 2,
Address Title,Naziv adrese,
Address Type,Tip adrese,
Administrator,Administrator,
All Day,Cijeli dan,
Allow Delete,Dopustite Delete,
Amended From,Izmijenjena Od,
Amount,Iznos,
Applicable For,primjenjivo za,
Approval Status,Status odobrenja,
Assign,Dodijeliti,
Assign To,Dodijeliti,
Attachment,Vezanost,
Attachments,Prilozi,
Author,autor,
Auto Repeat,Auto Repeat,
Base URL,Baza URL,
Based On,Na osnovu,
Beginner,početnik,
Billing,Naplata,
Cancel,Otkaži,
Category,Kategorija,
Category Name,Naziv kategorije,
City,Grad,
City/Town,Grad / Mjesto,
Client,Klijent,
Client ID,ID klijenta,
Client Secret,klijent Secret,
Closed,Zatvoreno,
Code,Šifra,
Collapse All,Skupi sve,
Color,Boja,
Company Name,Naziv preduzeća,
Condition,Stanje,
Contact,Kontakt,
Contact Details,Kontakt podaci,
Content,Sadržaj,
Content Type,Vrsta sadržaja,
Create,Stvoriti,
Created By,Kreirao,
Current,struja,
Custom HTML,Custom HTML,
Custom?,Prilagođena?,
Date Format,Format datuma,
Datetime,Datum i vrijeme,
Day,dan,
Default Letter Head,Uobičajeno Letter Head,
Defaults,Zadani,
Delivery Status,Status isporuke,
Department,Odjel,
Details,Detalji,
Document Name,Dokument Ime,
Document Status,Dokument Status,
Document Type,Tip dokumenta,
Domain,Domena,
Domains,Domena,
Draft,Draft,
Edit,Uredi,
Email Account,Email nalog,
Email Address,E-mail adresa,
Email ID,Email ID,
Email Sent,E-mail poslan,
Email Template,Email Template,
Enable,omogućiti,
Enabled,Omogućeno,
End Date,Datum završetka,
Error Code: {0},Kod greške: {0},
Error Log,Error Log,
Event,Događaj,
Expand All,Raširi sve,
Fail,Fail,
Failed,Nije uspio,
Fax,Fax,
Feedback,Povratna veza,
Female,Ženski,
Field Name,Naziv polja,
Fieldname,"Podataka, Naziv Polja",
Fields,Polja,
First Name,Ime,
Frequency,frekvencija,
Friday,Petak,
From,Od,
Full,Pun,
Full Name,Ime i prezime,
Further nodes can be only created under 'Group' type nodes,"Daljnje čvorovi mogu se samo stvorio pod ""Grupa"" tipa čvorova",
Gender,Rod,
GitHub Sync ID,GitHub Sync ID,
Guest,Gost,
Half Day,Pola dana,
Half Yearly,Polu godišnji,
High,Visok,
Hourly,Po satu,
Hub Sync ID,Hub Sync ID,
IP Address,IP adresa,
Image,Slika,
Image View,Prikaz slike,
Import Data,Uvoz podataka,
Import Log,Uvoz Prijavite,
Inactive,Neaktivan,
