A4,A4,
Access Token,גישת אסימון,
Accounts Manager,מנהל חשבונות,
Accounts User,חשבונות משתמשים,
Action,פעולה,
Actions,פעולות,
Active,פעיל,
Add,להוסיף,
Add Comment,הוסף תגובה,
Address,כתובת,
Address Line 2,שורת כתובת 2,
Address Title,כותרת כתובת,
Address Type,סוג הכתובת,
Administrator,מנהל,
All Day,כל היום,
Allow Delete,לאפשר מחיקה,
Amended From,תוקן מ,
Amount,הסכום,
Applicable For,ישים ל,
Approval Status,סטטוס אישור,
Assign,להקצות,
Assign To,להקצות ל,
Attachment,קובץ מצורף,
Attachments,קבצים מצורפים,
Based On,המבוסס על,
Billing,חיוב,
Cancel,לבטל,
Category,קָטֵגוֹרִיָה,
Category Name,שם קטגוריה,
City,עיר,
City/Town,עיר / יישוב,
Client,הלקוח,
Closed,סגור,
Code,קוד,
Color,צבע,
Company Name,שם חברה,
Condition,מצב,
Contact,צור קשר עם,
Contact Details,פרטי,
Content,תוכן,
Content Type,סוג תוכן,
Create,צור,
Created By,נוצר על-ידי,
Custom HTML,המותאם אישית HTML,
Custom?,מותאם אישית?,
Date Format,פורמט תאריך,
Datetime,Datetime,
Day,יְוֹם,
Default Letter Head,ברירת מחדל מכתב ראש,
Defaults,ברירות מחדל,
Delivery Status,סטטוס משלוח,
Department,מחלקה,
Details,פרטים,
Document Name,שם מסמך,
Document Status,סטטוס מסמך,
Document Type,סוג המסמך,
Domain,תחום,
Domains,תחומים,
Email Account,"חשבון דוא""ל",
Email Sent,"דוא""ל שנשלח",
Enable,אפשר,
Enabled,מופעל,
End Date,תאריך סיום,
Event,אירוע,
Failed,נכשל,
Fax,פקס,
Feedback,משוב,
Female,נקבה,
Field Name,שם שדה,
Fieldname,Fieldname,
Fields,שדות,
First Name,שם פרטים,
Frequency,תֶדֶר,
Friday,יום שישי,
From,מ,
Full Name,שם מלא,
Further nodes can be only created under 'Group' type nodes,צמתים נוספים ניתן ליצור אך ורק תחת צמתים הסוג 'הקבוצה',
Gender,מין,
Guest,אורח,
Half Day,חצי יום,
Half Yearly,חצי שנתי,
High,גבוה,
Image,תמונה,
Image View,צפה בתמונה,
Import Log,יבוא יומן,
Insert,הכנס,
Introduction,מבוא,
Is Active,האם Active,
Is Default,האם ברירת מחדל,
Label,תווית,
Last Name,שם משפחה,
Letter Head,מכתב ראש,
Level,רמה,
Limit,לְהַגבִּיל,
Logs,יומנים,
Low,נמוך,
Maintenance Manager,מנהל אחזקה,
Maintenance User,משתמש תחזוקה,
Male,זכר,
Mandatory,חובה,
Medium,בינוני,
Message Examples,דוגמאות הודעה,
Method,שיטה,
Middle Name,שם אמצעי,
Middle Name (Optional),שם התיכון (אופציונאלי),
Monday,יום שני,
Monthly,חודשי,
More,יותר,
More Information,מידע נוסף,
Move,מהלך,
My Account,החשבון שלי,
Next,הבא,
No Data,אין נתונים,
Not Permitted,לא מורשה,
Not active,לא פעיל,
Notes,הערות,
Operation,מבצע,
Options,אפשרויות,
Other,אחר,
Owner,בעלים,
Page Missing or Moved,דף חסר או עבר,
Parameter,פרמטר,
Password,סיסמא,
Payment Gateway,תשלום Gateway,
Payments,תשלומים,
Period,תקופה,
Pincode,Pincode,
Please enable pop-ups,אנא אפשר חלונות קופצים,
Please select Company,אנא בחר חברה,
Portal,שַׁעַר,
Portal Settings,הגדרות Portal,
Preview,תצוגה מקדימה,
Primary,עיקרי,
Print Format,פורמט הדפסה,
Print Settings,הגדרות הדפסה,
Private,פרטי,
Property,נכס,
Public,ציבור,
Published,פורסם,
Purchase Manager,מנהל רכש,
Purchase Master Manager,רכישת Master מנהל,
Purchase User,משתמש רכישה,
Query Options,שאילתא אפשרויות,
Received,קיבלתי,
Recipients,מקבלי,
Redirect URL,כתובת אתר להפניה מחדש,
Reference,התייחסות,
Reference Date,תאריך התייחסות,
Reference Document,מסמך ההפניה,
Reference Document Type,התייחסות סוג המסמך,
Reference Owner,בעלי ההפניה,
Reference Type,סוג ההתייחסות,
Region,אזור,
Rejected,נדחה,
Reopen,פתח מחדש,
Replied,ענה,
Report,"דו""ח",
Report Builder,Report Builder,
Report Type,סוג הדוח,
Reports,דיווחים,
Response,תגובה,
Role,תפקיד,
Route,מַסלוּל,
Sales Manager,מנהל מכירות,
Sales Master Manager,מנהל המכירות Master,
Sales User,משתמש מכירות,
Salutation,שְׁאֵילָה,
Sample,לדוגמא,
Saturday,יום שבת,
Saved,הציל,
Scheduled,מתוכנן,
Search,חיפוש,
Select,בחר,
Select DocType,DOCTYPE בחר,
Send Now,שלח עכשיו,
Sent,נשלח,
Series {0} already used in {1},סדרת {0} כבר בשימוש {1},
Service,שירות,
Settings,הגדרות,
Shipping,משלוח,
Short Name,שם קצר,
Slideshow,מצגת,
Source,מקור,
Standard,סטנדרטי,
Start Date,תאריך ההתחלה,
Stopped,נעצר,
Subject,נושא,
Submit,שלח,
Sunday,יום ראשון,
System Manager,מנהל מערכת,
Target,יעד,
Task,משימה,
Test,מבחן,
Thank you,תודה לך,
To Date,לתאריך,
Tools,כלים,
Traceback,להתחקות,
URL,כתובת האתר,
Unsubscribed,רישום בוטל,
User ID,זיהוי משתמש,
Users,משתמשים,
Validity,תוקף,
Warning,אזהרה,
Website,אתר,
Website Manager,מנהל אתר,
Website Settings,הגדרות אתר,
Wednesday,יום רביעי,
Weekly,שבועי,
Welcome email sent,דואר אלקטרוני שנשלח ברוכים הבאים,
Workflow,זרימת עבודה,
old_parent,old_parent,
{0} is mandatory,{0} הוא חובה,
"""Company History""","""היסטוריה של חברה""",
"""Parent"" signifies the parent table in which this row must be added","""הורה"" מסמל את שולחן ההורה שבו יש להוסיף את השורה הזו",
"""Team Members"" or ""Management""","""חברי צוות"" או ""ניהול""",
&lt;head&gt; HTML,&lt;ראש&gt; HTML,
'In List View' not allowed for type {0} in row {1},"""ברשימת צפייה 'לא אפשר לסוג {0} בשורת {1}",
(Ctrl + G),(Ctrl + G),
** Failed: {0} to {1}: {2},** נכשל: {0} {1}: {2},
**Currency** Master,** ** מטבע ראשי,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - טיוטה; 1 - נשלח; 2 - בוטל,
0 is highest,0 הוא גבוהה ביותר,
1 Currency = [?] Fraction\nFor e.g. 1 USD = 100 Cent,מטבע 1 = [?] שבר לUSD 1 לדוגמא = 100 סנט,
1 comment,1 תגובה,
1 hour ago,לפני שעה 1,
1 minute ago,לפני דקה 1,
"<h4>Default Template</h4>\n<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>","<h4> תבנית ברירת מחדל <!-- h4--> <p> שימושים  <a href=""http://jinja.pocoo.org/docs/templates/""> ג'ינג'ה בניית תבנית וכל תחומי כתובת (כוללים שדות מותאמים אישית אם בכלל) יהיה זמין <!-- p--> </a></p><pre><a href=""http://jinja.pocoo.org/docs/templates/""> <code> {{}} address_line1 &amp; lt; br &amp; gt; {% אם address_line2%} {{}} address_line2 &amp; lt; br &amp; gt; {% endif -%} {{העיר}} &amp; lt; br &amp; gt; {% אם% מדינת} {{המדינה}} &amp; lt; br &amp; gt; {% endif -%} {% אם% pincode} PIN: {{pincode}} &amp; lt; br &amp; gt; {% endif -%} {{ארץ}} &amp; lt ; Br &amp; gt; {% אם% טלפון} טלפון: {{טלפון}} &amp; lt; br &amp; gt; {% endif -%} {% אם פקס%} פקס: {{פקס}} &amp; lt; br &amp; gt; {% endif -%} {% אם email_id % דוא""ל}: {{}} email_id &amp; lt; br &amp; gt; {endif% -%} <!-- code--> <!-- pre--></code></a></pre></h4>",
A log of request errors,יומן של שגיאות בקשה,
A new account has been created for you at {0},חשבון חדש נוצר עבורך {0},
A symbol for this currency. For e.g. $,סימן של מטבע זה. לדוגמה: $$,
A word by itself is easy to guess.,מילה בפני עצמה קל לנחש.,
ASC,ASC,
About,אודות,
About Us Settings,אודות הגדרות קשר,
About Us Team Member,אודות חבר צוות,
Action Failed,הפעולה נכשלה,
"Actions for workflow (e.g. Approve, Cancel).","פעולות לעבודה (לדוגמא לאשר, לבטל).",
Activity Log,יומן פעילות,
Activity log of all users.,יומן פעילות של כל המשתמשים.,
Add A New Rule,הוספת של חוק חדש,
Add Another Comment,להוסיף עוד הערה,
Add Column,להוסיף טור,
Add Filter,הוסף מסנן,
