A4,A4,
API Endpoint,API Endpoint,
API Key,Key API,
Access Token,Têketinê Token,
Account,Konto,
Accounts Manager,Manager bikarhênerên,
Accounts User,hesabên bikarhêneran,
Action,Çalakî,
Actions,Actions,
Active,Jîr,
Add,Lêzêdekirin,
Add Comment,lê zêde bike Comment,
Add Row,lê zêde bike Row,
Address,Navnîşan,
Address Line 2,Line Address 2,
Address Title,Address Title,
Address Type,Address Type,
Administrator,Birêvebir,
All Day,All Day,
Allow Delete,Destûrê bide Vemirandina,
Amended From,de guherîn From,
Amount,Biha,
Applicable For,"wergirtinê, çimkî",
Approval Status,Rewş erêkirina,
Assign,Cîrêdan,
Assign To,Assign To,
Attachment,Attachment,
Attachments,Attachments,
Author,Nivîskar,
Auto Repeat,Auto Repeat,
Base URL,Navnîşa bingehîn,
Based On,Çi qewimî,
Beginner,Despêkevan,
Billing,Billing,
Cancel,Bişûndekirin,
Category,Liq,
Category Name,Category Name,
City,Bajar,
City/Town,City / Town,
Client,Kirrîxwaz,
Client ID,ID Client,
Client Secret,Client Secret,
Closed,Girtî,
Code,Navê dizî,
Collapse All,hilweşe Hemû,
Color,Reng,
Company Name,Navê Company,
Condition,Rewş,
Contact,Têkelî,
Contact Details,Contact Details,
Content,Dilşad,
Content Type,Content Type,
Create,Xûliqandin,
Created By,created By,
Current,Vêga,
Custom HTML,HTML Custom,
Custom?,Hûnbunî?,
Date Format,Date Format,
Datetime,datetime,
Day,Roj,
Default Letter Head,Default Letter Head,
Defaults,Têrbûn,
Delivery Status,Rewş Delivery,
Department,Liq,
Details,Details,
Document Name,Name belgeya,
Document Status,Rewş belge,
Document Type,Corî dokumênt,
Domain,Domain,
Domains,Domain ji,
Draft,Draft,
Edit,Weşandin,
Email Account,Account Email,
Email Address,Navnîşana emailê,
Email ID,Nasnameya Îmêlê,
Email Sent,Email Sent,
Email Template,Şablon,
Enable,Bikêrkirin,
Enabled,çalake,
End Date,Date End,
Error Code: {0},Error Code: {0},
Error Log,Têkeve Error,
Event,Bûyer,
Expand All,Expand Hemû,
Fail,Biserîneçûn,
Failed,bi ser neket,
Fax,Fax,
Feedback,Feedback,
Female,Mê,
Field Name,Navê Field,
Fieldname,Fieldname,
Fields,Fields,
First Name,Nav,
Frequency,Pircarînî,
Friday,Roja Înê,
From,Ji,
Full,Tije,
Full Name,Navê tam,
Further nodes can be only created under 'Group' type nodes,hucûma berfireh dikarin bi tenê di bin &#39;Group&#39; type hucûma tên afirandin,
Gender,Regez,
GitHub Sync ID,Nasnameya GitHub,
Guest,Mêvan,
Half Day,Day Half,
Half Yearly,nîv Hit,
High,Bilind,
Hourly,Seetî,
Hub Sync ID,Nasnameya Hub Sync,
IP Address,Navnîşana IP&#39;yê,
Image,Wêne,
Image View,Wêne View,
Import Data,Daneyên Import,
