Connector Type,Тип на конектор
Provider Name,Име на провајдерот
Name cannot contain special characters like {0},Името не може да содржи специјални знаци како {0}
Enable Gradients,Овозможи градиенти
Default Sort Order,Стандарден редослед на редот
Showing only Numeric fields from Report,Прикажани се само Нумерички полиња од Извештај
folder-open,отворена папка
Is Table,Е Табела
Unable to open attached file. Did you export it as CSV?,Не може да се отвори приложената датотека. Дали го извезувате како CSV?
No Copy,Нема копија
Default Value,Стандардна вредност
Append To is mandatory for incoming mails,Додај To е задолжително за дојдовни пораки
Data Migration Mapping Detail,Детално пресликување на податоци за миграција
Unfollow,Откажете
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",Печатењето PDF преку &quot;Raw Print&quot; сеуште не е поддржано. Ве молиме отстранете го мапирањето на печатачот во Printer Settings и обидете се повторно.
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,"Ве молиме проверете ја вашата регистрирана е-адреса за инструкции како да продолжите. Не затворај го овој прозорец, бидејќи ќе треба да се вратите на него."
Insert Column Before {0},Вметни ја колоната пред {0}
GCalendar Settings,GCalendar Settings
HTML for header section. Optional,HTML за насловот. Изборен
_report,_репорција
Code,Код
Fraction Units,Единици на дропки
Export Customizations,Извозници
Force,Сила
Setup &gt; User Permissions,Поставување&gt; Кориснички дозволи
User Email,Корисничка е-пошта
 Advanced Settings,Напредни поставувања
Redirect To,Пренасочување кон
Stopped,Престана
Google API Credentials,Сертификати за API на Google
Subject,Предмет
Revert,Врати
File backup is ready,Резервната датотека е подготвена
Add custom javascript to forms.,Додајте сопствен JavaScript на формулари.
Add custom forms.,Додајте сопствени форми.
This report was generated on {0},Овој извештај беше генериран на {0}
This document has been reverted,Овој документ е вратен
Mapping Type,Тип на мапирање
Please select document type first.,Прво изберете тип на документ.
Make use of longer keyboard patterns,Направете употреба на подолги тастатури
Are you sure you want to delete the attachment?,Дали сте сигурни дека сакате да го избришете прилогот?
ap-southeast-2,ап-југоисток-2
Please verify your Email Address,Ве молиме потврдете ја вашата е-адреса
About Us Settings,За Нас Подесувања
Avoid sequences like abc or 6543 as they are easy to guess,"Избегнувајте секвенци како ABC или 6543, бидејќи тие се лесно да се погоди"
Email Account not setup. Please create a new Email Account from Setup &gt; Email &gt; Email Account,Е-пошта не е подесена. Ве молиме креирајте нова сметка за е-пошта од Setup&gt; E-mail&gt; Email account
Insert Below,Вметни подолу
Error in Custom Script,Грешка во прилагодениот скрипт
Please specify which date field must be checked,Ве молиме наведете кој поле за датум мора да се провери
Feedback,Повратни информации
"Invalid ""depends_on"" expression",Невалиден израз &quot;зависи од&quot;
Session Expired,Сесијата е истечена
Sent Read Receipt,Испратена сметка за читање
Tools,Алатки
Contacts,Контакти
Document Share Report,Документ Сподели извештај
Filter List,Листа со филтри
Notification Tones,Тонови на известување
You have used up all of the space allotted to you. Please buy more space in your subscription.,Го потрошивте целиот простор доделен на вас. Ве молиме да купите повеќе простор во вашата претплата.
"Expression, Optional","Израз, факултативно"
Mandatory Information missing:,Недостасуваат задолжителни информации:
DocType is a Table / Form in the application.,DocType е Табела / Образец во апликацијата.
Primary,Основно
Setup Reports to be emailed at regular intervals,Извештаите за поставување треба да се испраќаат преку редовни интервали
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.",Се чини дека сте го напишале вашето име наместо вашата e-mail адреса. \ Ве молиме внесете валидна е-адреса за да можеме да се вратиме.
Website Settings,Поставки на веб-страница
Background Email Queue,Позадина на е-пошта
{0} and {1},{0} и {1}
There was an error saving filters,Се појави грешка при зачувување на филтрите
Enter your password,Внесете ја вашата лозинка
Cannot delete Home and Attachments folders,Не можам да ги избришам папките за дома и додатоци
Settings for Contact Us Page,Подесувања за контакт со нас
Social Login Provider,Провајдер за социјални најавувања
Previous Hash,Претходна Hash
Value Changed,Промена на вредноста
Report Type,Тип на извештај
Default Address Template cannot be deleted,Основниот образец за образец не може да се избрише
Please set script URL on Gsuite Settings,Ве молиме наместете ја URL-то на сценариото на поставките на Gsuite
Invalid limit {0},Неважечка граница {0}
No of emails remaining to be synced,Бројот на е-пошта останува да се синхронизира
User ID,ИД на корисникот
Website,Веб-страница
sa-east-1,sa-исток-1
Notification Recipient,Примачот на известување
Module,Модул
Address Type,Тип на адреса
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.","Ако ова е означено, ќе бидат внесени редови со валидни податоци и неважечки редови ќе бидат фрлени во нова датотека за да ги внесете подоцна."
Error Log,Грешка при логирање
Half,Половина
Home Page,Домашна страница
Current Mapping Start,Тековно мапирање започне
eye-close,око-блиски
Assignment closed by {0},Доставата е затворена од {0}
Next Date's day and Repeat on Day of Month must be equal,Датумот Следен ден и Повторување на денот на месецот мора да бидат еднакви
Comments cannot have links or email addresses,Коментарите не можат да имаат линкови или адреси на е-пошта
Reference Communication,Референтна комуникација
Mandatory:,Задолжително:
Setting up your system,Поставување на вашиот систем
Payment Failed,Исплатата не успеа
Read,Прочитајте
SSL/TLS Mode,SSL / TLS режим
Print Format Help,Помош за формат на печатење
Between,Помеѓу
Thank you for your interest in subscribing to our updates,Ви благодариме за вашиот интерес да се претплатите на нашите новости
Full Name,Целосно име
Allow GCalendar Access,Дозволи пристап за GCalendar
Reset Permissions for {0}?,Ресетирај ги дозволите за {0}?
Start entering data below this line,Почнете да внесувате податоци под оваа линија
UNSEEN,UNSEEN
JS,JS
All-uppercase is almost as easy to guess as all-lowercase.,Сите-големи букви е речиси исто толку лесно да се погоди како сите мали букви.
Cannot use sub-query in order by,Не може да се користи под-пребарување според ред
Transaction Log Report,Извештај за трансакцијата
Is Global,Дали е глобално
Options Help,Помош за опции
Is Sent,Дали е испратен
Transaction Log,Дневник за трансакции
eu-west-3,eu-west-3
Complete Setup,Целосно подесување
OTP Secret has been reset. Re-registration will be required on next login.,ОТП тајната е ресетирана. Ќе се бара повторно регистрација при следното најавување.
In List View,Во приказ на листа
Feedback Trigger,Повратни информации
Confirm,Потврди
Valid email and name required,Потребна е валидна е-пошта и име
List of patches executed,Изведена е листа на закрпи
Email Queue,Ред по е-пошта
