apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,Siaran {baru} untuk aplikasi berikut boleh didapati
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,Sila pilih Field Jumlah.
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,Memuatkan fail import ...
DocType: Assignment Rule,Last User,Pengguna Terakhir
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","Satu tugas baru, {0}, telah diberikan kepada anda oleh {1}. {2}"
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,Default Sesi disimpan
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,Muat semula Fail
DocType: Email Queue,Email Queue records.,rekod e-mel Giliran.
DocType: Post,Post,Post
DocType: Address,Punjab,Punjab
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,Nama semula banyak perkara dengan memuat naik fail csv.
DocType: Workflow State,pause,jeda
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,Anda tidak dibenarkan untuk mengakses halaman ini.
DocType: About Us Settings,Website,Laman Web
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,Anda perlu log masuk untuk mengakses halaman ini
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,Nota: Pelbagai sesi akan dibenarkan dalam kes peranti mudah alih
DocType: DocType,Form Settings,Tetapan Borang
apps/frappe/frappe/templates/emails/download_data.html,Download Data,Muat turun Data
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,Secara kekal Hantar {0}?
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,Muat turun Backup Fail
DocType: Address,County,Daerah
DocType: Workflow,If Checked workflow status will not override status in list view,Jika status aliran kerja Diperiksa tidak akan mengatasi status dalam paparan senarai
apps/frappe/frappe/client.py,Invalid file path: {0},Laluan fail tidak sah: {0}
DocType: Workflow State,eye-open,mata terbuka
DocType: Email Queue,Send After,Hantar Selepas
apps/frappe/frappe/utils/file_manager.py,Please select a file or url,Sila pilih fail atau url
apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,Pokok {0}
DocType: User,User Emails,E-mel pengguna
DocType: User,Username,Nama pengguna
apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,Import Zip
apps/frappe/frappe/model/base_document.py,Value too big,Nilai terlalu besar
DocType: DocField,DocField,DocField
DocType: GSuite Settings,Run Script Test,Run Script Test
