A4,A4,
API Endpoint,Ponto final da API,
API Key,Key API,
Access Token,Símbolo de Acesso,
Account,Conta,
Accounts Manager,Gestor de Contas,
Accounts User,Utilizador de Contas,
Action,Ação,
Actions,Ações,
Active,Ativo,
Add,Adicionar,
Add Comment,Adicionar Comentário,
Add Row,Adicionar linha,
Address,Endereço,
Address Line 2,Endereço Linha 2,
Address Title,Título do Endereço,
Address Type,Tipo de Endereço,
Administrator,Administrador,
All Day,Dia Inteiro,
Allow Delete,Permitir Eliminação,
Amended From,Alterado De,
Amount,Montante,
Applicable For,Aplicável Para,
Approval Status,Estado de Aprovação,
Assign,Atribuir,
Assign To,Atribuir A,
Attachment,Anexo,
Attachments,Anexos,
Author,Autor,
Auto Repeat,Repetição Automática,
Base URL,URL Base,
Based On,Baseado Em,
Beginner,Principiante,
Billing,Faturação,
Cancel,Cancelar,
Category,Categoria,
Category Name,Nome da Categoria,
City,Cidade,
City/Town,Cidade/Localidade,
Client,Cliente,
Client ID,ID do Cliente,
Client Secret,Segredo do cliente,
Closed,Fechado,
Code,Código,
Collapse All,Recolher todos,
Color,Cor,
Company Name,Nome da Empresa,
Condition,Condição,
Contact,Contacto,
Contact Details,Dados de Contacto,
Content,Conteúdo,
Content Type,Tipo de Conteúdo,
Create,Criar,
Created By,Criado Por,
Current,Atual,
Custom HTML,HTML Personalizada,
Custom?,Personalizado?,
Date Format,Formato de Data,
Datetime,Data e Hora,
Day,Dia,
Default Letter Head,Cabeçalho de Carta Padrão,
Defaults,Padrões,
Delivery Status,Status de Entrega,
Department,Departamento,
Details,Dados,
Document Name,Nome do Documento,
Document Status,Status do Documento,
Document Type,tipo de documento,
Domain,Domínio,
Domains,Domínios,
Draft,"Esboço, projeto",
Edit,Editar,
Email Account,Conta de Email,
Email Address,Endereço de e-mail,
Email ID,Identificação do email,
Email Sent,Email Enviado,
Email Template,Modelo de email,
Enable,permitir,
Enabled,Ativado,
End Date,Data de Término,
Error Code: {0},Código de erro: {0},
Error Log,Log de erro,
Event,Evento,
Expand All,Expandir todos,
Fail,Falhou,
Failed,Falhou,
Fax,Fax,
Feedback,Comentários,
Female,Feminino,
Field Name,Nome do Campo,
Fieldname,Nome de Campo,
Fields,Campos,
First Name,Nome,
Frequency,Frequência,
Friday,Sexta-feira,
From,De,
Full,Cheio,
Full Name,Nome Completo,
Further nodes can be only created under 'Group' type nodes,Só podem ser criados subgrupos em subgrupos do tipo 'Grupo',
Gender,Sexo,
GitHub Sync ID,GitHub Sync ID,
Guest,Convidado,
Half Day,Meio Dia,
Half Yearly,Semestrais,
High,Alto,
Hourly,De hora em hora,
Hub Sync ID,Identificação da Sincronização do Hub,
IP Address,Endereço de IP,
Image,Imagem,
Image View,Vista de Imagem,
Import Data,Importar dados,
Import Log,Importar Registo,
Inactive,Inativo,
Insert,Inserir,
Interests,Juros,
Introduction,Introdução,
Is Active,É Ativa,
Is Completed,Está completo,
Is Default,É Padrão,
Kanban Board,Kanban Board,
Label,Rótulo,
Language Name,Nome do Idioma,
Last Name,Sobrenome,
Leaderboard,Entre os melhores,
Letter Head,Cabeçalho de Carta,
Level,Nível,
Limit,Limite,
Log,Registo,
Logs,Registos,
Low,Baixo,
Maintenance Manager,Gestor de Manutenção,
Maintenance User,Utilizador da Manutenção,
Male,Masculino,
Mandatory,Obrigatório,
Mapping,Mapeamento,
Mapping Type,Tipo de mapeamento,
Medium,Médio,
Meeting,encontro,
Message Examples,Exemplos de Mensagens,
Method,Método,
Middle Name,Nome do Meio,
Middle Name (Optional),Nome do meio (opcional),
Monday,Segunda-feira,
Monthly,Mensal,
More,Mais,
More Information,Mais Informação,
More...,Mais...,
Move,Mover,
My Account,Minha Conta,
New Address,Novo endereço,
New Contact,Novo Contacto,
Next,Seguinte,
No Data,Sem Dados,
No address added yet.,Ainda não foi adicionado nenhum endereço.,
No contacts added yet.,Ainda não foi adicionado nenhum contacto.,
No items found.,Nenhum item encontrado.,
None,Nenhum,
Not Permitted,Não Permitido,
Not active,Não está ativo,
Notes,Notas,
Number,Número,
Online,Online,
Operation,Operação,
Options,Opções,
Other,Outro,
Owner,Dono,
Page Missing or Moved,Página em falta ou movida,
Parameter,Parâmetro,
Password,Senha,
Payment Gateway,Portal de Pagamento,
Payment Gateway Name,Nome do Gateway de Pagamento,
Payments,Pagamentos,
Period,Período,
Pincode,Código PIN,
Plan Name,Nome do Plano,
Please enable pop-ups,"Por favor, ative os pop-ups",
Please select Company,"Por favor, selecione a Empresa",
Please select {0},"Por favor, selecione {0}",
Please set Email Address,"Por favor, defina a ID do Email",
Portal,Portal,
Portal Settings,Definições do Portal,
Preview,Pré-visualização,
Primary,Principal,
Print Format,Formato de Impressão,
Print Settings,Definições de Impressão,
Print taxes with zero amount,Imprima impostos com montante zero,
Private,Privado,
Property,Propriedade,
Public,Público,
Published,Publicado,
Purchase Manager,Gestor de Compras,
Purchase Master Manager,Gestor Definidor de Compra,
Purchase User,Utilizador de Compra,
Query Options,Opções de Consulta,
Range,Faixa,
Rating,Avaliação,
Received,Recebido,
Recipients,Destinatários,
Redirect URL,Redirecionar URL,
Reference,Referência,
Reference Date,Data de Referência,
Reference Document,Documento de referência,
Reference Document Type,Referência Tipo de Documento,
Reference Owner,Dono de Referência,
Reference Type,Tipo de Referência,
Refresh Token,token de atualização,
Region,Região,
Rejected,Rejeitado,
Reopen,Reabrir,
Replied,Respondeu,
Report,Relatório,
Report Builder,Criador de Relatórios,
Report Type,Tipo de Relatório,
Reports,Relatórios,
Response,Resposta,
Role,Função,
Route,Rota,
Sales Manager,Gestor De Vendas,
Sales Master Manager,Gestor de Vendas Master,
Sales User,Utilizador de Vendas,
Salutation,Saudação,
Sample,Amostra,
Saturday,Sábado,
Saved,Salvo,
Scan Barcode,Scan Barcode,
Scheduled,Programado,
Search,Pesquisar,
Secret Key,Chave secreta,
Select,Seleção,
Select DocType,Selecione DocType,
Send Now,Enviar agora,
Sent,Enviado,
Series {0} already used in {1},Série {0} já usado em {1},
Service,serviço,
Set as Default,Instellen als standaard,
Settings,Configurações,
Shipping,Envio,
Short Name,Nome Curto,
Slideshow,Slideshow,
Some information is missing,Algumas informações está faltando,
Source,Fonte,
Source Name,Nome da Fonte,
Standard,Padrão,
Start Date,Data de Início,
Start Import,Iniciar importação,
State,Estado,
Stopped,Parado,
Subject,Assunto,
Submit,Submeter,
Successful,Bem sucedido,
Summary,Resumo,
Sunday,Domingo,
System Manager,System Manager,
Target,Alvo,
Task,Tarefa,
Tax Category,Categoria de imposto,
Test,Teste,
Thank you,Obrigado,
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,A página que você está procurando está faltando. Isto poderia ser porque ele é movido ou se houver um erro de digitação no link.,
Timespan,Intervalo de tempo,
To,Para,
To Date,Até à Data,
Tools,Ferramentas,
Traceback,Traceback,
URL,URL,
Unsubscribed,Inscrição cancelada,
Use Sandbox,Use Sandbox,
User,Do utilizador,
User ID,ID de Utiliz.,
Users,Utilizadores,
Validity,Validade,
Warning,Aviso,
Website,Site,
Website Manager,Site Gerente,
Website Settings,Configurações do site,
Wednesday,Quarta-feira,
Week,Semana,
Weekdays,Dias da semana,
Weekly,Semanal,
Welcome email sent,Bem-vindo e-mail enviado,
Workflow,Fluxo de trabalho,
You need to be logged in to access this page,Você precisa estar logado para acessar esta página,
old_parent,fonte_antiga,
{0} is mandatory,{0} é obrigatório,
 to your browser,para o seu navegador,
"""Company History""","""História da Empresa""",
"""Parent"" signifies the parent table in which this row must be added","""Principal"" significa a a tabela principal na qual deve ser acrescentada esta linha",
"""Team Members"" or ""Management""","""Membros da Equipa"" ou ""Gestão""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
'In Global Search' not allowed for type {0} in row {1},&#39;Na Pesquisa Global&#39; não é permitido para o tipo {0} na linha {1},
'In List View' not allowed for type {0} in row {1},'Na Vista de Lista' não é permitida para o tipo {0} na linha {1},
'Recipients' not specified,&#39;Recipientes&#39; não especificados,
(Ctrl + G),(Ctrl + G),
** Failed: {0} to {1}: {2},** Falha: de {0} para {1}: {2},
**Currency** Master,Definidor de **Moeda**,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Rascunho; 1 - Enviado; 2 - Cancelado,
0 is highest,0 é maior,
1 Currency = [?] Fraction\nFor e.g. 1 USD = 100 Cent,1 Moeda = [?] Fração\nPor ex: 1 EUR = 100 Cêntimos,
1 comment,1 comentário,
1 hour ago,há 1 hora atrás,
1 minute ago,há 1 minuto atrás,
1 month ago,1 mês atrás,
1 year ago,1 ano atrás,
; not allowed in condition,; Não está permitido na condição,
"<h4>Default Template</h4>\n<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>","<h4>Modelo Padrão</h4>\n<p>Utiliza <a href=""http://jinja.pocoo.org/docs/templates/""> O Modelo Jinja</a> e todos os campos do Endereço (incluindo Campos Personalizados, caso haja) estarão disponíveis</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Telefone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>",
A Lead with this Email Address should exist,A Lead com este endereço de email deve existir,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Uma lista de recursos que o aplicativo cliente terá acesso a depois que o usuário permita. <br> por exemplo, do projeto",
A log of request errors,Um registo de erros de solicitados,
A new account has been created for you at {0},Foi criada uma nova conta foi criada para si em {0},
A symbol for this currency. For e.g. $,Um símbolo para esta moeda. Por ex: $,
