apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,Na voljo so nova izdaja {{} za naslednje programe
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,Izberite Znesek polje.
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,Nalaganje datoteke za uvoz ...
DocType: Assignment Rule,Last User,Zadnji uporabnik
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","Nova naloga, {0}, je bila dodeljena vam jo {1}. {2}"
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,Privzete nastavitve seje shranjene
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,Ponovno naloži datoteko
DocType: Email Queue,Email Queue records.,Email Queue evidence.
DocType: Post,Post,Objavi
DocType: Address,Punjab,Punjab
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,"Preimenovanje veliko elementov, ki jih naložite datoteko .csv."
DocType: Workflow State,pause,pavza
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,Niste dovoljenja za dostop do te strani.
DocType: About Us Settings,Website,Spletna stran
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,Morate biti prijavljeni za dostop do te strani
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,Opomba: Več seje bodo lahko v primeru mobilne naprave
DocType: DocType,Form Settings,Nastavitve obrazca
apps/frappe/frappe/templates/emails/download_data.html,Download Data,Prenos podatkov
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,Trajno Submit {0}?
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,Prenos varnostnih kopij datotek
DocType: Address,County,County
DocType: Workflow,If Checked workflow status will not override status in list view,Če Preverjeno stanje poteka dela ne bo spremenil stanje v pogledu seznama
apps/frappe/frappe/client.py,Invalid file path: {0},Neveljavna datoteka pot: {0}
DocType: Workflow State,eye-open,eye-open
DocType: Email Queue,Send After,Pošlji Po
apps/frappe/frappe/utils/file_manager.py,Please select a file or url,"Prosimo, izberite datoteko ali url"
apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,{0} Drevo
DocType: User,User Emails,Uporabniške E-pošta
DocType: User,Username,Uporabniško ime
apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,Uvoz Zip
apps/frappe/frappe/model/base_document.py,Value too big,Vrednost prevelika
DocType: DocField,DocField,DocField
DocType: GSuite Settings,Run Script Test,Run Script test
apps/frappe/frappe/desk/doctype/event/event.py,Select Google Calendar to which event should be synced.,"Izberite Google Koledar, s katerim naj bo dogodek sinhroniziran."
DocType: Data Import,Total Rows,Skupaj vrstic
DocType: Contact,Department,Oddelek
DocType: DocField,Options,Možnosti
apps/frappe/frappe/client.py,Cannot edit standard fields,Ne morete urejati standardnih polj
DocType: Print Format,Print Format Builder,Print Format Builder
DocType: GCalendar Account,Calendar Name,Ime koledarja
DocType: Report,Report Manager,Report Manager
DocType: Workflow,Document States,Države dokument
apps/frappe/frappe/public/js/frappe/views/pageview.js,Sorry! I could not find what you were looking for.,"Žal nam je! Nisem mogel najti tisto, kar ste iskali."
DocType: Data Migration Run,Logs,Dnevniki
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_view.js,There was an error saving filters,Pri shranjevanju filtrov je prišlo do napake
DocType: Custom DocPerm,This role update User Permissions for a user,Ta posodobitev vloga Uporabniške Dovoljenja za uporabnika
apps/frappe/frappe/public/js/frappe/model/model.js,Rename {0},Preimenovanje {0}
DocType: Workflow State,zoom-out,Pomanjšaj
DocType: Data Import Beta,Import Options,Možnosti uvoza
apps/frappe/frappe/public/js/frappe/form/form.js,Cannot open {0} when its instance is open,"Ne morem odpreti {0}, ko je njen primer odprta"
apps/frappe/frappe/model/document.py,Table {0} cannot be empty,Tabela {0} ne more biti prazen
DocType: SMS Parameter,Parameter,Parameter
apps/frappe/frappe/public/js/frappe/list/list_sidebar.html,Images,slike
DocType: Activity Log,Reference Owner,referenčna lastnika
DocType: Currency,Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,"Najmanjša obtoku frakcija enota (kovanec). Za primer 1 cent za USD in ga je treba vpisati kot 0,01"
DocType: Social Login Key,GitHub,GitHub
apps/frappe/frappe/model/base_document.py,"{0}, Row {1}","{0}, vrstica{1}"
