A4,A4,
API Endpoint,API Endpoint,
API Key,API Key,
Access Token,Qasja Token,
Account,llogari,
Accounts Manager,Llogaritë Menaxher,
Accounts User,Llogaritë përdoruesin,
Action,Veprim,
Actions,Veprimet,
Active,Aktiv,
Add,Shtoj,
Add Comment,Shto koment,
Add Row,Shto Row,
Address,Adresë,
Address Line 2,Adresa Line 2,
Address Title,Adresa Titulli,
Address Type,Adresa Type,
Administrator,Administrator,
All Day,Të gjitha Day,
Allow Delete,Lejo Fshij,
Amended From,Ndryshuar Nga,
Amount,Sasi,
Applicable For,Të zbatueshme për,
Approval Status,Miratimi Statusi,
Assign,Caktoj,
Assign To,Cakto Për,
Attachment,Attachment,
Attachments,Attachments,
Author,autor,
Auto Repeat,Repeat automatikisht,
Base URL,URL bazë,
Based On,Bazuar në,
Beginner,fillestar,
Billing,Faturimi,
Cancel,Anuloj,
Category,Kategori,
Category Name,Kategoria Emri,
City,Qytet,
City/Town,Qyteti / Qyteti,
Client,Klient,
Client ID,ID klienti,
Client Secret,klienti Secret,
Closed,Mbyllur,
Code,Kod,
Collapse All,Collapse All,
Color,Ngjyrë,
Company Name,Emri i kompanisë,
Condition,Kusht,
Contact,Kontakt,
Contact Details,Detajet Kontakt,
Content,I kënaqur,
Content Type,Përmbajtja Type,
Create,Krijoj,
Created By,Krijuar nga,
Current,aktual,
Custom HTML,Custom HTML,
Custom?,Custom?,
Date Format,Data Format,
Datetime,Datetime,
Day,ditë,
Default Letter Head,Default Letër Shef,
Defaults,Defaults,
Delivery Status,Ofrimit Statusi,
Department,Departamenti,
Details,Detalet,
Document Name,Dokumenti Emri,
Document Status,Dokumenti Statusi,
Document Type,Dokumenti Type,
Domain,Fushë,
Domains,Fushat,
Draft,draft,
Edit,redaktoj,
Email Account,Email Llogaria,
Email Address,Adresa e postës elektronike,
Email ID,Email ID,
Email Sent,Email dërguar,
Email Template,Modeli i Email-it,
Enable,mundësoj,
Enabled,Aktivizuar,
End Date,End Date,
Error Code: {0},Error Code: {0},
Error Log,Error Log,
Event,Ngjarje,
Expand All,Hapi te gjitha,
Fail,dështoj,
Failed,I dështuar,
Fax,Faks,
Feedback,Reagim,
Female,Femër,
Field Name,Emri Fusha,
Fieldname,Fieldname,
Fields,Fushat,
First Name,Emri,
Frequency,frekuencë,
Friday,E premte,
From,Nga,
Full,i plotë,
Full Name,Emri i plotë,
Further nodes can be only created under 'Group' type nodes,Nyjet e mëtejshme mund të krijohet vetëm në nyjet e tipit &#39;Grupit&#39;,
Gender,Gjini,
GitHub Sync ID,GitHub Sync ID,
Guest,Mysafir,
Half Day,Gjysma Dita,
Half Yearly,Gjysma vjetore,
High,I lartë,
Hourly,çdo orë,
Hub Sync ID,ID e sinkronizimit të Hub,
IP Address,Adresa IP,
Image,imazh,
Image View,Image Shiko,
