apps/frappe/frappe/desk/doctype/todo/todo_list.js +22,Assigned By Me,Dodijelio drugima
apps/frappe/frappe/desk/doctype/note/note_list.js +3,Notes,Bilješke
DocType: Desktop Icon,_doctype,_doctype
DocType: Desktop Icon,List,Lista
DocType: Report,Report Type,Vrsta izvještaja
DocType: System Settings,Session Expiry,Sesija ističe
apps/frappe/frappe/public/js/frappe/form/toolbar.js +197,New {0} (Ctrl+B),Novi {0} (Ctrl-B)
DocType: DocShare,DocShare,Dijeljenje dokumenta
apps/frappe/frappe/public/js/frappe/ui/filters/filter_list.js +144,Add Filter,Dodaj filter
DocType: Address,Contacts,Kontakti
apps/frappe/frappe/public/js/frappe/form/save.js +12,Submitting,Potvrđivanje
apps/frappe/frappe/public/js/frappe/form/grid_row_form.js +43,Editing Row,Izmjena u redu
apps/frappe/frappe/public/js/legacy/form.js +173,You are not allowed to print this document,Немате дозволу да штампате овај документ
DocType: Auto Repeat,End Date,Datum završetka
apps/frappe/frappe/public/js/frappe/ui/toolbar/navbar.html +51,What do you need help with?,Oko čega Vam je potrebna pomoć?
DocType: ToDo,Allocated To,Dodijeljeno je
DocType: Custom DocPerm,Delete,Obriši
apps/frappe/frappe/app.py +158,You do not have enough permissions to complete the action,Немате дозволу да завршите ову акцију.
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_view.js +262,Project,Projekti
DocType: ToDo,Due Date,Datum dospijeća
apps/frappe/frappe/public/js/frappe/model/model.js +26,Assigned To,Dodijeljeno prema
apps/frappe/frappe/model/rename_doc.py +79,renamed from {0} to {1},Preimenuj iz {0} u {1}
apps/frappe/frappe/public/js/legacy/form.js +348,Submit this document to confirm,Potvrdi ovaj dokument da bi ga zaključio
apps/frappe/frappe/utils/bot.py +150,You can find things by asking 'find orange in customers',"Можете тражити ствари претрагом ""тражи наранџасто у купцима"""
DocType: Note Seen By,Note Seen By,Bilješku je vidio
apps/frappe/frappe/public/js/frappe/list/list_sidebar_stat.html +21,Show Tags,Prikaži tagove
apps/frappe/frappe/templates/includes/navbar/navbar_login.html +23,Switch To Desk,Pređi na radnu površinu
apps/frappe/frappe/public/js/frappe/dom.js +295,Confirm,Potvrdi
apps/frappe/frappe/public/js/frappe/form/footer/assign_to.js +138,Assign to me,Dodijeljeno meni
apps/frappe/frappe/desk/form/save.py +34,Did not save,Nije se sačuvalo
apps/frappe/frappe/public/js/frappe/roles_editor.js +40,Clear all roles,Obriši sve role
apps/frappe/frappe/core/page/desktop/desktop.js +38,Explore,Istraži
DocType: Address,Sales User,Korisnik prodaje
DocType: Custom DocPerm,Set User Permissions,Postavite korisnička prava
apps/frappe/frappe/public/js/frappe/ui/filters/filter.js +20,Between,Između
apps/frappe/frappe/custom/doctype/custom_field/custom_field.js +63,e.g.:,npr:
DocType: Country,Country Name,Ime države
apps/frappe/frappe/public/js/frappe/form/multi_select_dialog.js +58,Make a new,Napravite novi
DocType: Workflow State,Download,Preuzmi
apps/frappe/frappe/handler.py +94,You have been successfully logged out,Успешно сте се одјавили
apps/frappe/frappe/website/doctype/web_form/web_form.py +133,You don't have the permissions to access this document,Немате дозволу да приступите овом документу.
DocType: Website Settings,Brand Image,Slika brenda
apps/frappe/frappe/utils/bot.py +89,show,Prikaži
DocType: Page,Yes,Da
DocType: Custom DocPerm,Role,Uloga
apps/frappe/frappe/public/js/frappe/views/reports/report_view.js +856,Totals,Ukupno
apps/frappe/frappe/public/js/frappe/request.js +137,You do not have enough permissions to access this resource. Please contact your manager to get access.,Немате дозволу да приступите овоме. Молимо јавите се свом менаџеру да добијете приступ.
apps/frappe/frappe/public/js/frappe/views/treeview.js +183,Add Child,Dodaj podređeni
apps/frappe/frappe/core/doctype/user/user.py +935,Invalid Password: ,Pogrešna lozinka:
DocType: System Settings,System Settings,Sistemska podešavanja
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder.js +697,You can add dynamic properties from the document by using Jinja templating.,Можете да додате динамичке вредности из документа помоћу Jinja шаблона.
apps/frappe/frappe/core/report/feedback_ratings/feedback_ratings.js +40,To Date,Do datuma
DocType: Chat Profile,Offline,Van mreže (offline)
DocType: Chat Message,System Manager,Menadžer sistema
apps/frappe/frappe/www/update-password.html +18,New Password,Nova lozinka
apps/frappe/frappe/desk/query_report.py +26,You don't have permission to get a report on: {0},Немате дозволу да добијете извештај о: {0}
DocType: User,Middle Name (Optional),Srednje ime (opciono)
apps/frappe/frappe/public/js/frappe/form/templates/set_sharing.html +7,Can Share,Može dijeliti
apps/frappe/frappe/public/js/frappe/form/layout.js +108,Dashboard,Nadzorna ploča
DocType: Contact,Last Name,Prezime
apps/frappe/frappe/public/js/frappe/views/pageview.js +112,Sorry! You are not permitted to view this page.,Niste autorizovani za prikaz ove stranice.
DocType: Web Form,Success Message,Poruka o uspjehu
apps/frappe/frappe/public/js/frappe/form/form_sidebar.js +62,{0} created this {1},{1} {0} je kreirao/la ovo.
DocType: Chat Profile,Online,Na mreži
apps/frappe/frappe/core/doctype/file/file.py +586,Folder {0} does not exist,Folder {0} ne postoji
DocType: Activity Log,Subject,Naslov
apps/frappe/frappe/public/js/frappe/views/file/file_view.js +79,Enter folder name,Unesi naziv foldera
DocType: Workflow State,Tags,Tagovi
apps/frappe/frappe/patches/v6_19/comment_feed_communication.py +131,Assignment,Dodjeljivanje
DocType: Workflow State,move,Kretanje
DocType: Language,Language,Jezik
apps/frappe/frappe/public/js/legacy/form.js +775,Permanently Submit {0}?,Trajno potvrdi {0} ?
DocType: Address,Maintenance User,Korisnik održavanja
DocType: Contact,Image,Slika
apps/frappe/frappe/public/js/frappe/model/model.js +538,Rename {0},Preimenuj {0}
apps/frappe/frappe/public/js/frappe/socketio_client.js +357,File Upload,Dodavanje fajla
DocType: Report,Add Total Row,Dodaj red ukupno bez PDV-a
,Setup Wizard,Čarobnjak za postavke
apps/frappe/frappe/core/report/feedback_ratings/feedback_ratings.js +33,From Date,Od datuma
DocType: Auto Repeat,Amended From,Izmijenjena iz
apps/frappe/frappe/desk/doctype/desktop_icon/desktop_icon.py +166,Desktop Icon already exists,Ikona na radnoj površini već postoji
DocType: Communication,Attachment Removed,Prilog uklonjen
DocType: Chat Room,Users,Korisnici
DocType: Data Import,Import Log,Log uvoza
apps/frappe/frappe/public/js/frappe/form/controls/comment.js +11,Add a comment,Dodaj komentar
apps/frappe/frappe/public/js/frappe/model/model.js +518,Permanently delete {0}?,Trajno obriši dokument {0} ?
DocType: Custom DocPerm,Export,Izvezi
DocType: Communication,Cancelled,Otkazan
