apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,క్రింది అనువర్తనాల కోసం కొత్త {} విడుదలలు అందుబాటులో ఉన్నాయి
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,దయచేసి సొమ్ము ఫీల్డ్ ఎంచుకోండి.
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,దిగుమతి ఫైల్‌ను లోడ్ చేస్తోంది ...
DocType: Assignment Rule,Last User,చివరి వినియోగదారు
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","ఒక కొత్త పని, {0}, {1} ద్వారా మీకు కేటాయించబడిన. {2}"
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,సెషన్ డిఫాల్ట్‌లు సేవ్ చేయబడ్డాయి
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,ఫైల్‌ను మళ్లీ లోడ్ చేయండి
DocType: Email Queue,Email Queue records.,ఇమెయిల్ క్యూ రికార్డులు.
DocType: Post,Post,పోస్ట్
DocType: Address,Punjab,పంజాబ్
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,ఒక csv ఫైల్ అప్ లోడ్ చేసి అనేక అంశాలను పేరుమార్చు.
DocType: Workflow State,pause,విరామం
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,మీరు ఈ పేజీని ప్రాప్యత చేయడానికి అనుమతి లేదు.
DocType: About Us Settings,Website,వెబ్సైట్
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,ఈ పేజీని ప్రాప్తి చెయ్యడానికి లాగిన్ అయి అవసరం
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,గమనిక: బహుళ సెషన్స్ మొబైల్ పరికరం విషయంలో అనుమతించబడతారు
DocType: DocType,Form Settings,ఫారమ్ సెట్టింగులు
apps/frappe/frappe/templates/emails/download_data.html,Download Data,డేటాను డౌన్‌లోడ్ చేయండి
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,శాశ్వతంగా {0} సమర్పించండి?
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,ఫైళ్ళు బ్యాకప్ డౌన్లోడ్
DocType: Address,County,కౌంటీ
DocType: Workflow,If Checked workflow status will not override status in list view,నిరూపితమైన వర్క్ఫ్లో స్థితి జాబితా దృష్టిలో స్థితి భర్తీ కాకపొతే
apps/frappe/frappe/client.py,Invalid file path: {0},చెల్లని ఫైల్ మార్గం: {0}
DocType: Workflow State,eye-open,కంటికి ఓపెన్
DocType: Email Queue,Send After,తరువాత పంపండి
apps/frappe/frappe/utils/file_manager.py,Please select a file or url,ఒక ఫైల్ లేదా URL దయచేసి ఎంచుకోండి
apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,{0} ట్రీ
DocType: User,User Emails,వాడుకరి ఇమెయిళ్ళు
DocType: User,Username,యూజర్ పేరు
apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,దిగుమతి చేయి జిప్
apps/frappe/frappe/model/base_document.py,Value too big,విలువ చాలా పెద్ద
DocType: DocField,DocField,DocField
DocType: GSuite Settings,Run Script Test,Run Script టెస్ట్
apps/frappe/frappe/desk/doctype/event/event.py,Select Google Calendar to which event should be synced.,ఏ సంఘటనకు సమకాలీకరించాలో Google క్యాలెండర్ ఎంచుకోండి.
DocType: Data Import,Total Rows,మొత్తం వరుసలు
DocType: Contact,Department,శాఖ
DocType: DocField,Options,ఎంపికలు
apps/frappe/frappe/client.py,Cannot edit standard fields,ప్రామాణిక ఖాళీలను సవరించడం సాధ్యపడదు
DocType: Print Format,Print Format Builder,ప్రింట్ ఫార్మాట్ బిల్డర్
DocType: GCalendar Account,Calendar Name,క్యాలెండర్ పేరు
DocType: Report,Report Manager,నివేదిక మేనేజర్
DocType: Workflow,Document States,డాక్యుమెంట్ స్టేట్స్
apps/frappe/frappe/public/js/frappe/views/pageview.js,Sorry! I could not find what you were looking for.,క్షమించాలి! నేను మీరు వెతుకుతున్న ఏమి దొరకలేదు.
DocType: Data Migration Run,Logs,చిట్టాలు
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_view.js,There was an error saving filters,ఫిల్టర్లను సేవ్ చేయడంలో లోపం ఉంది
DocType: Custom DocPerm,This role update User Permissions for a user,ఒక వినియోగదారు కోసం ఈ పాత్ర నవీకరణ వినియోగదారు అనుమతులను
apps/frappe/frappe/public/js/frappe/model/model.js,Rename {0},పేరుమార్చు {0}
DocType: Workflow State,zoom-out,జూమ్ అవుట్
DocType: Data Import Beta,Import Options,దిగుమతి ఎంపికలు
apps/frappe/frappe/public/js/frappe/form/form.js,Cannot open {0} when its instance is open,తెరువబడలేదు {0} దాని ఉదాహరణకు ఓపెన్ ఉన్నప్పుడు
apps/frappe/frappe/model/document.py,Table {0} cannot be empty,టేబుల్ {0} ఖాళీగా ఉండకూడదు
DocType: SMS Parameter,Parameter,పరామితి
apps/frappe/frappe/public/js/frappe/list/list_sidebar.html,Images,చిత్రాలు
DocType: Activity Log,Reference Owner,రిఫరెన్స్ యజమాని
