A4,A4,
API Endpoint,API Bitiş Noktası,
API Key,API Anahtarı,
Access Token,Erişim Anahtarı,
Account,hesap,
Accounts Manager,Hesap Yöneticisi,
Accounts User,Muhasebe Kullanıcıları,
Action,Eylem,
Actions,Eylemler,
Active,Etkin,
Add,Ekle,
Add Comment,Yorum Ekle,
Add Row,Satır ekle,
Address,Adres,
Address Line 2,Adres Satırı 2,
Address Title,Adres Başlığı,
Address Type,Adres Tipi,
Administrator,Yönetici,
All Day,Bütün Gün,
Allow Delete,Silmeye izin ver,
Amended From,İtibaren değiştirilmiş,
Amount,Tutar,
Applicable For,İçin uygulanabilir,
Approval Status,Onay Durumu,
Assign,Atamak,
Assign To,Ata,
Attachment,Haciz,
Attachments,Eklentiler,
Author,Yazar,
Auto Repeat,Otomatik Tekrarla,
Base URL,Temel URL,
Based On,Göre,
Beginner,Acemi,
Billing,Faturalama,
Cancel,İptal,
Category,Kategori,
Category Name,Kategori Adı,
City,İl,
City/Town,İl / İlçe,
Client,Müşteri:,
Client ID,Müşteri Kimliği,
Client Secret,Müşteri Gizliliği,
Closed,Kapalı,
Code,Kod,
Collapse All,Tüm daraltmak,
Color,Renk,
Company Name,Firma Adı,
Condition,Koşul,
Contact,İrtibat,
Contact Details,İletişim Bilgileri,
Content,İçerik,
Content Type,İçerik Türü,
Create,Oluştur,
Created By,Tarafından oluşturulan,
Current,şimdiki,
Custom HTML,Özel HTML,
Custom?,Özel?,
Date Format,Tarih Biçimi,
Datetime,Tarihzaman,
Day,Gün,
Default Letter Head,Mektubu Başkanı Standart,
Defaults,Standart Değerler,
Delivery Status,Teslim Durumu,
Department,Departman,
Details,ayrıntılar,
Document Name,Belge Adı,
Document Status,Belge Durumu,
Document Type,Belge Türü,
Domain,Etki Alanı,
Domains,Çalışma Alanları,
Draft,taslak,
Edit,Düzenle,
Email Account,E-posta Hesabı,
Email Address,E,
Email ID,Email kimliği,
Email Sent,E-posta Gönderilmiş,
Email Template,E-posta şablonu,
Enable,Etkinleştir,
Enabled,Etkin,
End Date,Bitiş tarihi,
Error Code: {0},Hata kodu {0},
Error Log,hata Günlüğü,
Event,Faaliyet,
Expand All,Hepsini genişlet,
Fail,Başarısız,
Failed,Başarısız,
Fax,Faks,
Feedback,Geri bildirim,
Female,Kadın,
Field Name,Alan Adı,
Fieldname,fieldname,
Fields,Alanlar,
First Name,Ad,
Frequency,frekans,
Friday,Cuma,
From,Itibaren,
Full,Tam,
Full Name,Tam Adı,
Further nodes can be only created under 'Group' type nodes,Ek kısımlar ancak 'Grup' tipi kısımlar altında oluşturulabilir,
Gender,Cinsiyet,
GitHub Sync ID,GitHub Senkronizasyon Kimliği,
Guest,Konuk,
Half Day,Yarım Gün,
Half Yearly,Yarım Yıllık,
High,Yüksek,
Hourly,Saatlik,
Hub Sync ID,Hub Senkronizasyon Kimliği,
IP Address,IP adresi,
Image,Resim,
Image View,Resim Görüntüle,
Import Data,Verileri İçe Aktar,
Import Log,Günlüğü İçe Aktar,
Inactive,etkisiz,
Insert,Ekle,
Interests,İlgi,
Introduction,Giriş,
Is Active,Aktif,
Is Completed,Tamamlandı,
Is Default,Standart,
Kanban Board,Kanban Kurulu,
Label,Etiket,
Language Name,Dil Adı,
Last Name,Soyadı,
Leaderboard,Liderler Sıralaması,
Letter Head,Antetli Kağıt,
Level,Seviye,
Limit,sınır,
Log,Giriş,
Logs,Kayıtlar,
Low,Düşük,
Maintenance Manager,Bakım Müdürü,
Maintenance User,Bakımcı Kullanıcı,
Male,Erkek,
Mandatory,Zorunlu,
Mapping,haritalama,
Mapping Type,Eşleme Türü,
Medium,Orta,
Meeting,Toplantı,
Message Examples,Mesaj Örnekleri,
Method,Yöntem,
Middle Name,İkinci ad,
Middle Name (Optional),İkinci ad (İsteğe bağlı),
Monday,Pazartesi,
Monthly,Aylık,
More,Daha fazla,
More Information,Daha fazla bilgi,
More...,Daha...,
Move,Hareket,
My Account,Hesabım,
New Address,Yeni adres,
New Contact,Yeni bağlantı,
Next,İleri,
No Data,Hiçbir veri,
No address added yet.,Hiçbir adres Henüz eklenmiş.,
No contacts added yet.,Hiç kişiler Henüz eklenmiş.,
No items found.,Hiç bir öğe bulunamadı.,
None,Yok,
Not Permitted,İzin Değil,
Not active,Aktif Değil,
Notes,Notlar,
Number,Numara,
Online,İnternet üzerinden,
Operation,Operasyon,
Options,Seçenekler,
Other,Diğer,
Owner,Sahibi,
Page Missing or Moved,Sayfa yok ya da taşınmış,
Parameter,Parametre,
Password,Parola,
Payment Gateway,Ödeme Gateway,
Payment Gateway Name,Ödeme Ağ Geçidi Adı,
Payments,Ödemeler,
Period,Dönem,
Pincode,Pinkodu,
Plan Name,Plan Adı,
Please enable pop-ups,Pop-up etkinleştirin,
Please select Company,Firma seçiniz,
Please select {0},Lütfen  {0} seçiniz,
Please set Email Address,E-posta Adresini ayarlayın,
Portal,Portal,
Portal Settings,Portal Ayarları,
Preview,Önizleme,
Primary,Birincil,
Print Format,Yazdırma Formatı,
Print Settings,Yazdırma Ayarları,
Print taxes with zero amount,Sıfır tutarlı vergileri yazdırın,
Private,Özel,
Property,Özellik,
Public,Genel,
Published,Yayınlandı,
Purchase Manager,Satınalma Yöneticisi,
Purchase Master Manager,Satınalma Usta Müdürü,
Purchase User,Satınalma Kullanıcı,
Query Options,Sorgu Seçenekleri,
Range,Aralık,
Rating,Değerlendirme,
Received,Alındı,
Recipients,Alıcılar,
Redirect URL,Yönlendirme URL,
Reference,Referans,
Reference Date,Referans Tarihi,
Reference Document,referans Belgesi,
Reference Document Type,Referans Belge Türü,
Reference Owner,referans Sahibi,
Reference Type,Referans Tipi,
Refresh Token,Yenile Jetonu,
Region,Bölge,
Rejected,Reddedildi,
Reopen,Yeniden açmak,
Replied,Cevaplandı,
Report,Rapor,
Report Builder,Rapor Oluşturucu,
Report Type,Rapor Türü,
Reports,Raporlar,
Response,Tepki,
Role,rol,
Route,Rota,
Sales Manager,Satış Müdürü,
Sales Master Manager,Satış Master Müdürü,
Sales User,Satış Kullanıcı,
Salutation,Hitap,
Sample,Numune,
Saturday,Cumartesi,
Saved,Kaydedilmiş,
Scan Barcode,Barkod Tara,
Scheduled,Planlandı,
Search,Arama,
Secret Key,Gizli anahtar,
Select,Seç,
Select DocType,Belge Tipi seçine,
Send Now,Şimdi Gönder,
Sent,Gönderilen,
Series {0} already used in {1},Seriler {0} {1} de zaten kullanılmıştır,
Service,Servis,
Set as Default,Varsayılan olarak ayarla,
Settings,Ayarlar,
Shipping,Nakliye,
Short Name,Kısa Adı,
Slideshow,Slayt Gösterisi,
Some information is missing,Bazı bilgiler eksik,
Source,Kaynak,
Source Name,kaynak Adı,
Standard,Standart,
