 by Role ,per Ruolo
 can not be marked as a ledger as it has existing child,non può essere contrassegnato come un libro mastro in quanto ha bambino esistente
 cannot be deleted., non può essere eliminata.
 is not set, non è impostato
"""Company History""",&quot;La storia della società&quot;
"""Team Members"" or ""Management""",&quot;Membri del team&quot; o &quot;gestione&quot;
0,0
"000 is black, fff is white","000 è nero, fff è bianco"
1,1
12px,12px
13px,13px
14px,14px
15px,15px
16px,16px
2,2
2 days ago,2 giorni fà
"<a onclick=""msgprint('<ol>\
<li><b>field:[fieldname]</b> - By Field\
<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\
<li><b>Prompt</b> - Prompt user for a name\
<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\
</ol>')"">Naming Options</a>",
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b>Annulla</b> consente di modificare i documenti inseriti cancellando o modificando.
A new popup will open that will ask you to select further conditions.,Si aprirà un popup che vi chiederà di selezionare ulteriori condizioni.
A user can have multiple values for a property.,Un utente può avere più valori per una proprietà.
About,About
About Us Settings,Chi siamo Impostazioni
About Us Team Member,Chi Siamo Membri Team
Account Id,ID Conto
Action,Azione
Actions,azioni
Add,Aggiungi
Add A New Rule,Aggiunge una nuova regola
Add A Property,Aggiungere una Proprietà
Add Attachments,Aggiungere Allegato
Add Bookmark,Aggiungere segnalibro
Add CSS,Aggiungere CSS
Add Column,Aggiungi colonna
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,Aggiungere ID Google Analytics : es. UA-89XXX57-1. Cerca aiuto su Google Analytics per altre informazioni.
Add Message,Aggiungere Messaggio
Add New Permission Rule,Aggiungere Nuova Autorizzazione
Add Reply,Aggiungi risposta
Add Total Row,Aggiungere Riga Totale
Add a banner to the site. (small banners are usually good),Aggiungi Banner al sito. (banner piccoli sono migliori)
Add attachment,Aggiungere Allegato
Add code as &lt;script&gt;,Aggiungi codice allo script
Add new row,Aggiungi Una Nuova Riga
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","Aggiungi il nome <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans"""
Add to To Do,Aggiungi a Cose da Fare
Add to To Do List of,Aggiungi a lista Cose da Fare di
Additional Info,Informazioni aggiuntive
Address,Indirizzo
Address and other legal information you may want to put in the footer.,Indirizzo e altre informazioni legali che si intende visualizzare nel piè di pagina.
Address to be displayed on the Contact Page,Indirizzo da visualizzare nella pagina Contatti
Adds a custom field to a DocType,Aggiungi campo personalizzato a DocType
Adds a custom script (client or server) to a DocType,Aggiungi Script personalizzato (client o server) al DocType
Advanced Scripting,Scripting Avanzato
Advanced Settings,Impostazioni Avanzate
All Day,Intera giornata
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Tutti i possibili stati del flusso di lavoro e ruoli del flusso di lavoro. <br> Docstatus Opzioni: 0 è &quot;salvato&quot;, 1 è &quot;sottoposto&quot; e 2 è &quot;Annullato&quot;"
Allow Attach,Consentire Allegati
Allow Import,Consentire Importa
Allow Import via Data Import Tool,Consentire Import tramite Strumento Importazione Dati
Allow Rename,Consentire Rinominare
Allow on Submit,Consentire su Invio
Allow user to login only after this hour (0-24),Consentire Login Utente solo dopo questo orario (0-24)
Allow user to login only before this hour (0-24),Consentire Login Utente solo prima di questo orario (0-24)
Allowed,Consenti
Already Registered,Già Registrato
Amend,Correggi
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","Icona con estensione .ico. 16 x 16 px. Genera con favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]"
Are you sure you want to delete the attachment?,Eliminare Veramente questo Allegato?
Arial,Arial
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User",Una buona idea sarebbe non assegnare le stesse autorizzazioni a differenti ruoli delo stesso utente
Ascending,Crescente
Assign To,Assegna a
Assigned By,Assegnato da
Assigned To,assegnato a
Assigned To/Owner,Assegnato a / proprietario
Attach,Allega
Attach Document Print,Allega documento Stampa
Attach as web link,Fissare come collegamento web
Attached To DocType,Allega aDocType
Attached To Name,Allega a Nome
Attachments,Allegati
Attributions,Attribuzione
Auto Name,Nome Auto
Auto generated,Auto generato
Avatar,Avatar
Background Color,Colore Sfondo
Background Image,Immagine Sfondo
Banner,Banner
Banner HTML,Banner HTML
Banner Image,Immagine Banner
Banner is above the Top Menu Bar.,Il Banner è sopra la Barra Menu Top
Begin this page with a slideshow of images,Inizia la pagina con una slideshow di immagini
Belongs to,appartiene alla
Bio,Bio
Birth Date,Data di Nascita
Blog Category,Categoria Blog
Blog Intro,Intro Blog
Blog Introduction,Introduzione Blog
Blog Post,Articolo Blog
Blog Settings,Impostazioni Blog
Blog Title,Titolo Blog
Blogger,Blogger
Bookmarks,Segnalibri
Brand HTML,Marca HTML
"Brand is what appears on the top-right of the toolbar. If it is an image, make sure it
has a transparent background and use the &lt;img /&gt; tag. Keep size as 200px x 30px",
Bulk Email,Email di Massa
Bulk Email records.,Registra Email di Massa
Button,Pulsante
By,By
COMM-,COMM-
CSS,CSS
Calendar,Calendario
Can only be exported by users with role 'Report Manager',Può essere esportata slo da utenti con ruolo 'Report Manager'
Cancel,Annulla
Cancel permission also allows the user to delete a document (if it is not linked to any other document).,Annulla permessi abiliti utente ad eliminare un documento (se non è collegato a nessun altro documento).
Cancelled,Annullato
Cannot Update: Incorrect / Expired Link.,Impossibile aggiornare : link errato / Scaduta .
Cannot Update: Incorrect Password,Impossibile aggiornare : Password errata
Cannot change from,Non è possibile cambiare da
Cannot edit standard fields,Non è possibile modificare i campi standard
Cannot map because following condition fails: ,Impossibile mappare perché seguente condizione fallisce:
"Cannot update a non-exiting record, try inserting.","Impossibile aggiornare un record non uscire , provare ad inserire ."
Categorize blog posts.,Categorizzare i post sul blog.
Category,Categoria
Category Name,Nome Categoria
Center,Centro
"Certain documents should not be changed once final, like an Invoice for example. The final state for such documents is called <b>Submitted</b>. You can restrict which roles can Submit.","Alcuni documenti non devono essere modificati una volta definiti, come una fattura, per esempio. Lo stato finale di tali documenti è chiamato <b>Inserito</b>. È possibile limitare quali ruoli possono Inviare."
Chat,Chat
Check,Seleziona
Check / Uncheck roles assigned to the Profile. Click on the Role to find out what permissions that Role has.,Seleziona / Deseleziona ruoli assegnati al profilo. Fare clic sul ruolo per scoprire quali autorizzazioni  ha il ruolo.
Check this to make this the default letter head in all prints,Seleziona per usare questa intestazione in tutte le stampe
Checked,Selezionato
Child Tables are shown as a Grid in other DocTypes.,Tabelle figlio sono mostrati come una griglia in altre DOCTYPE.
Clear Cache & Refresh,Cancella cache & Ricarica
Click on button in the 'Condition' column and select the option 'User is the creator of the document',Clicca sul pulsante nella colonna 'Condizioni' e seleziona 'Utente ha creato il documento'
Click on row to edit.,Clicca sulla riga da modificare.
Click to Expand / Collapse,Clicca per Espandere / Comprimere
Client,Intestatario
Close,Chiudi
Code,Codice
Color,Colore
Column Break,Interruzione Colonna
Comment,Commento
Comment By,Commentato da
Comment By Fullname,Commento di Nome Completo
Comment Date,Data commento
Comment Docname,Commento Docname
Comment Doctype,Commento Doctype
Comment Time,Tempo Commento
Comments,Commenti
Communication,Comunicazione
Communication Medium,Mezzo di comunicazione
Company History,Storico Azienda
Company Introduction,Introduzione Azienda
Company Name,Nome Azienda
Complaint,Reclamo
Complete By,Completato da
Condition Field,Condizione di campo
Contact Us Settings,Impostazioni Contattaci
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Opzioni di contatto, come &quot;Query vendite, il supporto delle query&quot;, ecc ciascuno su una nuova riga o separati da virgole."
Content,Contenuto
Content in markdown format that appears on the main side of your page,Contenuto sottolineato che appare sul lato principale della pagina
Content web page.,Contenuto Pagina Web.
Control Panel,Pannello di Controllo
Controller,controllore
Copy,Copia
Copyright,Copyright
Core,Core
Count,contare
Country,Nazione
Create,Crea
Created Customer Issue,Creata Richiesta Cliente
Created Opportunity,Opportunità Creata
Created Support Ticket,Crea Ticket Assistenza
Currency,Valuta
Currency Format,Formato Valuta
